"cohort_month","referral_source","month_number","mrr_amount","account_id"
"2023-07-01",ads,1,796,A-68f37c
"2024-08-01",partner,3,343,A-fda07f
"2024-10-01",partner,1,1007,A-f9cc74
"2024-06-01",event,1,2786,A-e7a1e2
"2024-06-01",ads,3,114,A-7a0d69
"2024-08-01",other,2,3980,A-4d1e75
"2024-10-01",organic,1,398,A-89ee83
"2023-09-01",partner,11,4378,A-d77f4c
"2024-04-01",event,2,882,A-b30291
"2024-04-01",event,5,399,A-249769
"2023-11-01",organic,3,1519,A-eb2fdc
"2024-11-01",partner,1,2401,A-5f2961
"2023-09-01",other,4,1176,A-9b9fe9
"2024-04-01",organic,1,2156,A-e40f45
"2024-06-01",ads,5,2189,A-0e966d
"2023-02-01",ads,15,245,A-a7bd4b
"2023-03-01",organic,19,646,A-7f8241
"2023-07-01",partner,1,1323,A-eafc6e
"2023-09-01",event,5,950,A-d49cc5
"2023-06-01",partner,16,5572,A-54ecc2
"2023-10-01",organic,2,245,A-6da850
"2024-11-01",organic,0,4949,A-533452
"2024-05-01",partner,0,2352,A-7c83a1
"2024-08-01",other,1,1421,A-e60f9d
"2023-05-01",ads,8,323,A-075038
"2024-12-01",other,0,1194,A-cc1d8d
"2023-02-01",event,20,722,A-271f46
"2023-09-01",other,3,950,A-1e1b80
"2024-10-01",ads,2,7363,A-e4bf56
"2024-04-01",ads,8,3781,A-ff79f2
"2024-07-01",other,3,399,A-5b4ebb
"2024-04-01",ads,6,532,A-d4ac0e
"2024-09-01",partner,1,398,A-86cdb4
"2024-12-01",event,0,380,A-854864
"2024-05-01",organic,5,608,A-71615e
"2024-11-01",other,1,7761,A-5fe118
"2024-12-01",partner,0,7960,A-39ddf4
"2023-11-01",other,7,38,A-e83938
"2024-11-01",ads,1,2891,A-671f31
"2024-10-01",other,1,23283,A-d4e0d4
"2024-09-01",ads,1,3283,A-e08cd3
"2024-10-01",partner,2,209,A-2e4581
"2024-05-01",other,5,1225,A-4a267b
"2024-05-01",partner,7,1176,A-7c83a1
"2023-12-01",partner,11,12338,A-dfbd31
"2024-12-01",other,0,285,A-309e54
"2024-12-01",ads,0,4179,A-6843f2
"2024-10-01",partner,1,980,A-2e4581
"2024-10-01",event,0,6965,A-ce550d
"2024-04-01",event,1,1127,A-f6b2fb
"2023-01-01",other,3,1254,A-ff3c73
"2024-04-01",event,7,266,A-2d4502
"2024-08-01",organic,3,931,A-2f6a32
"2023-11-01",other,13,152,A-69b156
"2024-10-01",organic,2,190,A-89ee83
"2023-05-01",event,7,5572,A-40de06
"2023-09-01",partner,7,18706,A-d77f4c
"2023-09-01",other,13,627,A-9b9fe9
"2024-10-01",ads,2,2401,A-88c6ca
"2023-02-01",ads,19,4577,A-52dd88
"2024-03-01",organic,1,6368,A-940b8b
"2023-03-01",other,17,4577,A-f19409
"2024-03-01",other,7,1862,A-f5641b
"2023-03-01",other,8,1176,A-9affe6
"2024-07-01",organic,2,49,A-6f8ad2
"2024-09-01",other,3,1577,A-902ef7
"2023-08-01",other,5,228,A-6dee43
"2024-12-01",other,0,784,A-cc1d8d
"2024-11-01",organic,1,988,A-533452
"2024-02-01",event,1,76,A-8adedc
"2023-05-01",other,1,532,A-425e76
"2024-07-01",organic,2,4975,A-92a3af
"2023-11-01",organic,12,1519,A-eb2fdc
"2023-03-01",organic,10,1140,A-7f8241
"2023-07-01",organic,6,3582,A-712533
"2023-10-01",event,10,5970,A-3be56b
"2023-05-01",other,14,2985,A-d5a319
"2023-09-01",other,4,380,A-b20d99
"2023-02-01",ads,16,5771,A-9ee962
"2023-11-01",ads,6,513,A-157070
"2024-03-01",partner,2,627,A-5247b3
"2024-06-01",ads,3,1372,A-5a92e7
"2023-08-01",partner,12,4776,A-96e141
"2023-05-01",ads,15,1194,A-7c4956
"2023-10-01",organic,9,2786,A-eb7fac
"2024-03-01",event,3,1225,A-22d9d2
"2024-10-01",partner,1,114,A-0f7d77
"2024-08-01",ads,0,722,A-4e44e8
"2024-01-01",organic,6,1323,A-2446e3
"2024-05-01",organic,3,456,A-0aaf6e
"2024-06-01",organic,6,1225,A-bb1eaa
"2024-03-01",partner,1,1791,A-39868b
"2023-05-01",other,16,8159,A-94d3da
"2024-12-01",organic,0,2812,A-18793f
"2024-04-01",partner,5,637,A-cc102e
"2024-07-01",other,4,98,A-f3ff05
"2024-03-01",event,4,392,A-22d9d2
"2024-06-01",ads,5,418,A-d42431
"2024-10-01",event,2,646,A-149a69
"2023-04-01",ads,1,637,A-ee42db
"2024-02-01",organic,9,1029,A-7d514c
"2023-12-01",other,12,199,A-1e6fc3
"2023-08-01",ads,7,5174,A-c1dfe1
"2024-04-01",event,4,76,A-249769
"2024-04-01",ads,5,456,A-d4ac0e
"2023-11-01",organic,4,2189,A-ccabf0
"2023-06-01",ads,4,9751,A-993085
"2024-12-01",event,0,3980,A-854864
"2023-06-01",event,5,95,A-8ed5dd
"2023-09-01",organic,14,1372,A-9f9299
"2024-09-01",other,1,1007,A-c16101
"2023-01-01",event,5,980,A-32728c
"2024-08-01",organic,4,361,A-2f6a32
"2023-05-01",partner,9,342,A-328bd0
"2024-06-01",ads,6,1372,A-5a92e7
"2023-05-01",other,11,152,A-425e76
"2024-04-01",ads,4,882,A-d4ac0e
"2024-03-01",organic,1,3383,A-4ef964
"2023-09-01",organic,13,1159,A-9f9299
"2023-08-01",event,7,1029,A-ac9111
"2024-10-01",partner,1,418,A-c37601
"2024-09-01",other,0,627,A-e351e1
"2024-03-01",other,4,418,A-4e631b
"2023-04-01",partner,7,1791,A-8145a0
"2023-05-01",ads,4,551,A-fdfc91
"2024-09-01",other,1,1617,A-e351e1
"2023-05-01",ads,1,441,A-7c4956
"2023-08-01",event,11,7363,A-ce66f8
"2023-12-01",ads,5,1862,A-712f1c
"2024-05-01",other,4,2254,A-4a267b
"2023-03-01",other,18,266,A-e888d1
"2024-07-01",organic,2,855,A-0cc442
"2024-07-01",ads,5,836,A-d27f50
"2023-10-01",organic,14,931,A-e7beab
"2023-05-01",ads,15,9353,A-fdfc91
"2023-01-01",partner,20,570,A-c7ffc2
"2024-03-01",other,5,2587,A-94f8c9
"2023-05-01",ads,7,6169,A-49b828
"2024-08-01",event,1,418,A-5b051a
"2023-11-01",other,6,1791,A-a6d261
"2024-08-01",event,0,597,A-a2485e
"2024-07-01",partner,5,10547,A-ac85cd
"2024-06-01",event,2,490,A-bcf87c
"2024-08-01",other,4,646,A-104f1a
"2023-10-01",organic,4,27064,A-eb7fac
"2023-05-01",other,6,646,A-86902e
"2024-07-01",ads,1,3381,A-7cfe77
"2024-11-01",organic,0,11741,A-d40bf7
"2023-11-01",other,2,5572,A-69b156
"2024-01-01",other,1,2548,A-ccb686
"2024-02-01",event,2,3871,A-8adedc
"2024-04-01",ads,1,228,A-ff79f2
"2024-07-01",organic,5,2587,A-016043
"2024-08-01",other,3,456,A-104f1a
"2023-01-01",organic,10,7164,A-779e4e
"2024-10-01",organic,1,7164,A-118d55
"2024-07-01",partner,5,2597,A-ac85cd
"2023-11-01",organic,9,798,A-600734
"2023-10-01",partner,5,1393,A-a8b49c
"2024-02-01",other,5,2205,A-e2cd1b
"2023-09-01",ads,0,2597,A-9bfc9f
"2023-05-01",organic,3,13532,A-80eeb6
"2023-12-01",organic,3,441,A-55f257
"2024-05-01",other,3,1225,A-4a267b
"2024-03-01",other,8,3383,A-94f8c9
"2024-11-01",organic,1,722,A-c43359
"2023-10-01",partner,0,1470,A-37f969
"2023-08-01",event,2,399,A-ac9111
"2024-10-01",other,2,1748,A-66224b
"2024-09-01",other,3,152,A-443b7c
"2024-12-01",organic,0,931,A-443f6f
"2023-02-01",event,22,247,A-6e08f3
"2023-08-01",partner,1,1064,A-98a59a
"2023-03-01",other,6,1666,A-f19409
"2024-06-01",event,3,1176,A-b7b7b7
"2023-09-01",event,1,1519,A-3b5cd1
"2023-02-01",ads,2,245,A-432483
"2024-07-01",other,2,5373,A-f3ff05
"2024-10-01",other,1,1748,A-66224b
"2023-11-01",other,2,882,A-59f724
"2024-01-01",organic,8,5373,A-2446e3
"2023-04-01",partner,18,686,A-6a4e2d
"2024-08-01",other,3,1764,A-427b69
"2023-08-01",partner,4,1568,A-96e141
"2023-04-01",ads,4,418,A-ee42db
"2024-06-01",ads,4,1715,A-5a92e7
"2023-08-01",other,1,3185,A-5a3eb9
"2023-01-01",other,18,2985,A-b9f5b1
"2023-10-01",organic,14,114,A-6da850
"2023-05-01",partner,13,18308,A-05f0e5
"2024-07-01",ads,5,7363,A-bd4708
"2024-11-01",organic,0,209,A-d26ab4
"2024-07-01",other,4,532,A-c42f1f
"2023-04-01",ads,5,1194,A-69fad4
"2024-07-01",ads,1,855,A-d27f50
"2024-11-01",partner,1,796,A-5f2961
"2023-06-01",organic,9,2985,A-558c72
"2024-07-01",organic,3,399,A-6f8ad2
"2024-09-01",ads,2,1990,A-625d0b
"2024-06-01",event,1,833,A-bcf87c
"2023-12-01",partner,7,882,A-4c56c9
"2024-11-01",event,1,1225,A-b07b56
"2023-01-01",partner,10,2009,A-91e948
"2024-10-01",other,2,779,A-e4144b
"2024-04-01",ads,8,392,A-054577
"2023-03-01",event,16,1568,A-32fb14
"2024-09-01",organic,2,1764,A-592832
"2023-06-01",other,16,2388,A-df10db
"2023-07-01",organic,15,3430,A-712533
"2024-07-01",organic,3,3582,A-50bb9f
"2024-02-01",ads,7,190,A-8b25f2
"2024-11-01",organic,1,2587,A-6965e1
"2024-08-01",partner,1,1990,A-d62e02
"2023-04-01",partner,11,597,A-8145a0
"2024-07-01",other,4,12537,A-5b4ebb
"2023-01-01",partner,7,779,A-91e948
"2023-02-01",ads,1,1274,A-52dd88
"2023-09-01",partner,6,2189,A-d77f4c
"2023-12-01",partner,6,1519,A-50f3f7
"2024-11-01",other,1,1194,A-cbd1a3
"2023-01-01",event,13,1078,A-f17767
"2023-02-01",partner,5,2695,A-39b19f
"2024-04-01",other,0,1176,A-4f18f0
"2024-11-01",organic,1,722,A-c43359
"2023-12-01",ads,4,3383,A-712f1c
"2024-07-01",partner,3,2189,A-9a532a
"2024-11-01",partner,1,3383,A-db5e9e
"2024-06-01",ads,6,247,A-ffc04f
"2024-03-01",event,5,597,A-029f69
"2023-11-01",organic,6,1617,A-eb2fdc
"2023-11-01",other,8,98,A-e83938
"2023-08-01",partner,2,855,A-7f6b86
"2024-11-01",organic,1,5572,A-8bde0c
"2024-06-01",event,5,980,A-7da956
"2023-09-01",organic,11,5572,A-9f9299
"2024-02-01",ads,3,1990,A-8b25f2
"2024-03-01",organic,1,597,A-31ab9a
"2024-06-01",event,3,4776,A-b7b7b7
"2023-05-01",event,1,5572,A-40de06
"2023-01-01",organic,9,2646,A-10b8f2
"2024-02-01",event,4,5572,A-ad64c6
"2024-05-01",event,6,1078,A-42b791
"2023-11-01",other,2,4378,A-59f724
"2023-10-01",partner,2,1470,A-37f969
"2024-11-01",organic,1,2587,A-6965e1
"2023-02-01",event,12,7960,A-e1b9cd
"2023-03-01",other,11,2156,A-e43bf7
"2023-08-01",partner,5,2205,A-7f6b86
"2023-04-01",partner,20,9751,A-35083d
"2024-01-01",organic,3,5373,A-2446e3
"2024-12-01",partner,0,7363,A-9174e0
"2024-03-01",organic,1,1176,A-940b8b
"2024-02-01",organic,3,3087,A-df1e44
"2024-08-01",organic,2,882,A-0a282f
"2023-12-01",partner,3,2786,A-855a48
"2024-09-01",partner,3,323,A-86cdb4
"2023-12-01",event,8,4378,A-dcc3f1
"2024-05-01",other,3,1568,A-c222ab
"2024-08-01",organic,0,3781,A-0a282f
"2023-01-01",organic,1,1813,A-d792a6
"2023-05-01",partner,0,3383,A-10b8da
"2024-07-01",other,2,1274,A-d82ef9
"2023-04-01",event,13,4577,A-02fac6
"2023-11-01",ads,1,323,A-157070
"2024-07-01",partner,3,2597,A-ac85cd
"2023-06-01",event,5,245,A-8ed5dd
"2024-05-01",organic,6,551,A-1619f8
"2024-07-01",partner,4,1007,A-ac85cd
"2024-05-01",organic,6,57,A-0aaf6e
"2024-03-01",partner,0,3184,A-5247b3
"2023-09-01",event,15,597,A-4437e4
"2023-11-01",event,9,3980,A-72799b
"2024-12-01",organic,0,3781,A-443f6f
"2023-05-01",ads,15,441,A-05d3b3
"2024-09-01",other,1,1372,A-443b7c
"2023-03-01",other,21,665,A-f19409
"2023-03-01",other,4,13930,A-e43bf7
"2024-08-01",event,1,833,A-96215d
"2023-11-01",organic,12,1592,A-474ad4
"2024-08-01",other,1,980,A-4d1e75
"2024-04-01",other,3,686,A-3d957b
"2024-05-01",organic,6,1421,A-1619f8
"2023-07-01",partner,1,5970,A-726cfa
"2023-09-01",partner,4,3781,A-6f50ae
"2023-05-01",other,7,646,A-86902e
"2024-06-01",ads,1,665,A-bc4d48
"2024-03-01",other,2,8756,A-02cd81
"2024-06-01",ads,1,1729,A-d42431
"2023-12-01",partner,12,342,A-4c56c9
"2023-11-01",event,6,247,A-659280
"2024-11-01",event,1,2450,A-bd4513
"2024-01-01",partner,7,8159,A-1d5444
"2023-09-01",organic,7,1194,A-4e0e85
"2024-07-01",organic,1,6965,A-6f8ad2
"2024-06-01",ads,1,437,A-cc8c8f
"2023-09-01",partner,10,1078,A-6f50ae
"2024-03-01",other,7,2303,A-f25509
"2023-03-01",other,4,490,A-7f4db3
"2024-07-01",organic,3,784,A-6f8ad2
"2024-06-01",event,3,5970,A-08e34e
"2024-03-01",ads,9,5174,A-a0ca4e
"2024-04-01",ads,6,882,A-9f0b68
"2023-11-01",organic,6,2189,A-331424
"2023-06-01",ads,15,1617,A-993085
"2024-12-01",event,0,980,A-854864
"2023-01-01",event,12,539,A-f17767
"2023-08-01",ads,12,3136,A-1f7acb
"2023-05-01",partner,15,1568,A-05f0e5
"2024-04-01",event,8,588,A-2d4502
"2023-10-01",partner,2,1225,A-856b1e
"2023-04-01",event,13,1078,A-02fac6
"2023-07-01",partner,0,95,A-417d2f
"2024-04-01",ads,5,14925,A-054577
"2024-12-01",ads,0,1127,A-6843f2
"2023-10-01",ads,13,532,A-702032
"2023-11-01",other,7,1323,A-59f724
"2023-02-01",other,22,2303,A-0dbdc6
"2024-08-01",other,1,12338,A-4d1e75
"2023-08-01",other,6,882,A-43a9e3
"2024-09-01",other,2,1862,A-443b7c
"2024-05-01",organic,2,4214,A-30b4ca
"2024-08-01",partner,4,608,A-d62e02
"2024-10-01",organic,0,513,A-89ee83
"2023-06-01",other,13,456,A-19b2c8
"2024-03-01",partner,3,1791,A-39868b
"2024-03-01",event,7,684,A-4c38bc
"2024-02-01",organic,8,2695,A-812c5b
"2024-06-01",ads,4,418,A-0e966d
"2023-08-01",other,16,882,A-5a3eb9
"2023-05-01",event,17,1026,A-4a4c2d
"2024-07-01",organic,5,8955,A-0cc442
"2023-06-01",ads,12,1519,A-993085
"2023-12-01",partner,7,1519,A-50f3f7
"2024-11-01",other,1,190,A-de24d5
"2024-05-01",organic,5,3582,A-fa2041
"2023-12-01",event,11,4577,A-c16b88
"2024-04-01",ads,4,513,A-d4ac0e
"2024-03-01",other,7,4378,A-4e631b
"2023-12-01",partner,7,228,A-4c56c9
"2023-04-01",partner,13,285,A-6c093d
"2024-06-01",ads,0,665,A-bc4d48
"2023-01-01",event,6,1127,A-3b37d9
"2023-04-01",organic,2,3184,A-a1bbb6
"2023-05-01",event,19,247,A-9289f6
"2023-09-01",other,7,950,A-1e1b80
"2024-09-01",event,3,551,A-b54c01
"2024-07-01",organic,4,8955,A-0cc442
"2023-01-01",other,19,817,A-b9f5b1
"2024-10-01",other,1,646,A-0354fe
"2023-07-01",organic,8,6169,A-337bc1
"2024-09-01",event,3,8159,A-7f29a7
"2024-10-01",other,1,6368,A-118f1c
"2023-01-01",organic,1,931,A-779e4e
"2024-08-01",organic,2,196,A-0a282f
"2024-04-01",ads,3,441,A-684255
"2023-11-01",other,11,1393,A-69b156
"2024-06-01",ads,6,147,A-a45270
"2024-04-01",ads,2,1990,A-9f0b68
"2023-05-01",organic,17,513,A-80eeb6
"2024-07-01",event,5,637,A-c37cab
"2024-08-01",other,2,1140,A-e60f9d
"2023-05-01",other,12,1666,A-86902e
"2023-01-01",organic,21,12935,A-d792a6
"2024-11-01",organic,1,5572,A-8bde0c
"2024-08-01",other,3,1519,A-4d1e75
"2024-10-01",event,0,3184,A-d3c88e
"2024-03-01",other,2,294,A-692f18
"2023-04-01",organic,9,1178,A-67be94
"2024-04-01",organic,8,2842,A-fd9422
"2024-08-01",ads,3,14925,A-4e44e8
"2024-05-01",other,4,494,A-e36807
"2023-11-01",ads,13,3184,A-157070
"2023-03-01",organic,3,627,A-b7724f
"2023-03-01",other,18,4577,A-f19409
"2023-12-01",ads,1,3383,A-712f1c
"2023-04-01",partner,15,12139,A-6c093d
"2024-01-01",organic,5,9552,A-faa28c
"2024-03-01",other,4,1372,A-342303
"2024-07-01",organic,4,8955,A-0cc442
"2024-04-01",event,2,3184,A-b30291
"2024-01-01",other,1,4263,A-5a215a
"2024-11-01",event,1,1617,A-b78bf8
"2023-10-01",other,12,1764,A-3932db
"2024-07-01",other,3,4179,A-5b4ebb
"2024-01-01",other,11,209,A-ccb686
"2023-08-01",other,15,3582,A-5a3eb9
"2024-06-01",ads,0,532,A-9badbd
"2023-09-01",event,9,950,A-d49cc5
"2024-11-01",organic,1,4975,A-039727
"2023-07-01",partner,6,323,A-726cfa
"2024-12-01",partner,0,7960,A-39ddf4
"2024-10-01",organic,1,285,A-118d55
"2024-04-01",organic,1,513,A-e40f45
"2023-05-01",other,15,392,A-bcf664
"2024-06-01",ads,2,980,A-5a92e7
"2024-08-01",organic,2,760,A-0a282f
"2024-04-01",ads,7,882,A-d4ac0e
"2023-03-01",ads,11,882,A-84ebe4
"2023-09-01",ads,6,2597,A-9bfc9f
"2023-12-01",partner,2,456,A-f51f16
"2024-06-01",other,2,190,A-cd458b
"2023-08-01",partner,12,4975,A-96e141
"2023-03-01",other,3,171,A-6e7827
"2023-09-01",other,10,9950,A-1e1b80
"2023-12-01",partner,5,7761,A-f51f16
"2023-05-01",ads,5,2009,A-2ebb4b
"2024-05-01",organic,7,17512,A-0aaf6e
"2023-05-01",event,17,209,A-089363
"2024-02-01",ads,3,1791,A-fe79a5
"2023-02-01",event,16,441,A-f44180
"2024-07-01",event,4,722,A-ad296b
"2024-02-01",organic,4,209,A-b9eed8
"2024-11-01",organic,1,3283,A-bb1486
"2023-05-01",event,16,1045,A-e693b6
"2023-04-01",event,17,4378,A-02fac6
"2024-01-01",partner,4,4776,A-1d5444
"2023-09-01",event,11,1862,A-4437e4
"2024-02-01",event,1,2786,A-8adedc
"2023-09-01",event,15,171,A-4437e4
"2023-03-01",other,11,2989,A-158f4e
"2024-11-01",event,0,1520,A-b48f73
"2024-04-01",organic,4,1102,A-fd9422
"2023-08-01",partner,12,11144,A-98a59a
"2024-06-01",event,2,3283,A-b7b7b7
"2024-11-01",organic,1,475,A-039727
"2024-11-01",organic,0,1121,A-d40bf7
"2024-09-01",partner,2,475,A-eb1312
"2023-10-01",organic,3,343,A-eb7fac
"2023-12-01",partner,12,4776,A-4c56c9
"2023-02-01",event,3,760,A-e1b9cd
"2024-11-01",ads,1,570,A-82d8a6
"2024-05-01",partner,4,398,A-58b9ff
"2023-06-01",partner,17,1421,A-2b9d3e
"2024-03-01",ads,6,1617,A-cb5333
"2023-06-01",event,12,1862,A-95b24a
"2024-03-01",event,0,684,A-4c38bc
"2024-01-01",other,2,1194,A-3cc791
"2023-12-01",other,8,6567,A-7988d1
"2023-12-01",partner,9,1791,A-4c56c9
"2024-02-01",organic,8,6965,A-eb7c38
"2024-08-01",organic,3,4577,A-a09355
"2024-02-01",organic,1,2985,A-b9eed8
"2023-11-01",event,12,3383,A-2edab2
"2023-03-01",partner,4,735,A-e1462e
"2023-01-01",partner,8,570,A-c7ffc2
"2023-11-01",ads,9,1764,A-00bed1
"2024-06-01",event,5,57,A-e7a1e2
"2023-09-01",event,11,209,A-4437e4
"2023-11-01",event,6,513,A-f03140
"2023-04-01",organic,19,1029,A-cab532
"2024-05-01",other,4,2205,A-716841
"2024-03-01",other,5,3383,A-883b7d
"2024-09-01",event,1,2009,A-7f29a7
"2024-01-01",organic,7,9552,A-faa28c
"2024-05-01",other,7,8955,A-716841
"2024-03-01",other,4,1519,A-f5641b
"2024-03-01",other,4,2587,A-94f8c9
"2023-05-01",organic,11,12935,A-80eeb6
"2023-07-01",partner,13,3781,A-726cfa
"2023-07-01",partner,3,722,A-e19ff6
"2024-05-01",partner,5,833,A-b7ef83
"2024-06-01",event,3,931,A-08e34e
"2023-05-01",partner,1,6368,A-05f0e5
"2023-06-01",other,13,5572,A-19b2c8
"2024-04-01",ads,1,342,A-d4ac0e
"2023-10-01",other,1,2388,A-503d5a
"2023-11-01",organic,4,3184,A-a1b80b
"2024-09-01",organic,0,646,A-781cc0
"2024-06-01",ads,3,3381,A-2d1036
"2024-04-01",ads,3,6965,A-34d880
"2024-10-01",event,0,1596,A-c16cf7
"2024-12-01",other,0,9552,A-309e54
"2024-04-01",partner,4,3097,A-56962b
"2023-09-01",organic,2,1372,A-9f9299
"2023-12-01",ads,2,6766,A-e98302
"2023-09-01",ads,15,1330,A-fa3095
"2023-05-01",event,18,5373,A-297a2d
"2024-07-01",other,3,1274,A-d82ef9
"2023-11-01",event,4,980,A-72799b
"2024-10-01",ads,2,8557,A-b179bf
"2024-03-01",other,4,7363,A-692f18
"2024-05-01",organic,5,627,A-0baac2
"2023-02-01",ads,10,437,A-52dd88
"2024-04-01",event,5,779,A-b30291
"2024-01-01",ads,6,147,A-922109
"2024-10-01",organic,1,304,A-0651a4
"2024-12-01",event,0,627,A-5790f4
"2023-04-01",ads,8,1990,A-69fad4
"2023-05-01",organic,3,76,A-9208f0
"2023-02-01",ads,17,3184,A-e6afc1
"2023-05-01",ads,18,247,A-49b828
"2023-12-01",partner,10,2940,A-dfbd31
"2024-08-01",organic,2,686,A-a09355
"2023-05-01",ads,17,490,A-49b828
"2023-09-01",partner,13,16517,A-e51ec7
"2023-04-01",partner,18,931,A-35083d
"2023-07-01",ads,1,3781,A-9c18c4
"2024-12-01",other,0,171,A-cc1d8d
"2024-09-01",organic,0,2388,A-781cc0
"2023-08-01",organic,4,1519,A-cdf020
"2023-09-01",organic,6,14527,A-5b1bcd
"2023-11-01",event,9,637,A-65a46c
"2024-11-01",ads,1,11741,A-671f31
"2023-10-01",ads,14,1372,A-702032
"2024-03-01",other,2,6368,A-f25509
"2023-09-01",other,2,9950,A-1e1b80
"2023-06-01",organic,12,1463,A-558c72
"2023-11-01",ads,0,741,A-7920cc
"2024-10-01",organic,1,3781,A-0651a4
"2023-05-01",organic,16,1225,A-80eeb6
"2024-11-01",organic,1,2388,A-8bde0c
"2023-10-01",other,1,6567,A-aa9511
